,category,detail,amount
97,EMPLOYMENT AND ECONOMIC DEVELOPMENT,Cosmos - Municipal Building,600000
98,EMPLOYMENT AND ECONOMIC DEVELOPMENT,Fosston - Second Street Road Improvement,400000
99,EMPLOYMENT AND ECONOMIC DEVELOPMENT,Grand Rapids - Independent School District No. 318,3897000
100,EMPLOYMENT AND ECONOMIC DEVELOPMENT,Hanover - Bridge,78000
101,EMPLOYMENT AND ECONOMIC DEVELOPMENT,Lake Elmo - Water Supply,3500000
102,EMPLOYMENT AND ECONOMIC DEVELOPMENT,Litchfield - Electrical,250000
103,EMPLOYMENT AND ECONOMIC DEVELOPMENT,Minneapolis - Brian Coyle Community Center,330000
104,EMPLOYMENT AND ECONOMIC DEVELOPMENT,Minneapolis - Hennepin Center for the Arts,550000
105,EMPLOYMENT AND ECONOMIC DEVELOPMENT,Minneapolis - Nicollet Mall,21500000
106,EMPLOYMENT AND ECONOMIC DEVELOPMENT,Park Rapids - Upper Mississippi Arts Center,2500000
107,EMPLOYMENT AND ECONOMIC DEVELOPMENT,Red Wing - River Renaissance,1560000
108,EMPLOYMENT AND ECONOMIC DEVELOPMENT,St. Paul - Minnesota Children's Museum,6515000
109,EMPLOYMENT AND ECONOMIC DEVELOPMENT,St. Paul - Historic Palace Theater Renovation,5000000
110,EMPLOYMENT AND ECONOMIC DEVELOPMENT,St. Paul - Ordway Center for the Performing Arts,4000000
111,EMPLOYMENT AND ECONOMIC DEVELOPMENT,St. Paul - Minnesota Public Media Commons,9000000
112,EMPLOYMENT AND ECONOMIC DEVELOPMENT,Thief River Falls Airport - Public Infrastructure,650000
113,EMPLOYMENT AND ECONOMIC DEVELOPMENT,Thief River Falls - Public Infrastructure,800000
114,EMPLOYMENT AND ECONOMIC DEVELOPMENT,Virginia - Highway 53 Utilities Relocation,19500000
115,PUBLIC FACILITIES AUTHORITY,State Match for Federal Grants,12000000
116,PUBLIC FACILITIES AUTHORITY,Wastewater Infrastructure Funding Program,18333000
117,PUBLIC FACILITIES AUTHORITY,Big Lake Area Sanitary District,4500000
118,PUBLIC FACILITIES AUTHORITY,Rice Lake Township - Water Main Replacement,1168000
119,PUBLIC FACILITIES AUTHORITY,Truman - Storm Water Project,1425000
120,PUBLIC FACILITIES AUTHORITY,Voyageurs National Park Clean Water Joint Powers Board,8567000
121,MINNESOTA HOUSING FINANCE AGENCY,MN Housing Finance Agency,20000000
122,MINNESOTA HISTORICAL SOCIETY,Oliver H. Kelley Farm Historic Site,10562000
123,MINNESOTA HISTORICAL SOCIETY,Historic Sites Asset Preservation,1440000
124,BOND SALE EXPENSES,BOND SALE EXPENSES,900000
